frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
119,0.008251028806584362,0.09083517384022756,0.008251028806584362,68.96572257510022,55.72473312122905,0.999942745749101,0.00011831275720197709,6423,6423,1.0,0.11316847801208496
111,0.008176440329218108,0.0904236712880986,0.008176440329218108,69.00516089207375,55.21121383199174,0.9999411120564566,0.00032150205761638517,6341,6341,1.0,0.10934162139892578
13,0.008122427983539095,0.09012451377699131,0.008122427983539095,69.03394491449872,55.756814186591754,0.9999295280258519,0.0005658436213948903,6214,6214,1.0,0.1029515266418457
115,0.0082690329218107,0.09093422305056936,0.0082690329218107,68.95625639861906,55.572594477692405,0.9999421708645467,2.829218107081033e-05,6425,6425,1.0,0.1225581169128418
93,0.008099279835390947,0.08999599899657176,0.008099279835390947,69.04633956485603,55.36197865182235,0.9999208576641522,0.00021862139917772083,6287,6287,1.0,0.12045741081237793
30,0.008083847736625514,0.08991022042362878,0.008083847736625514,69.05462236104567,55.7771427355722,0.99994079833378,0.0005169753086420315,6382,6382,1.0,0.12898755073547363
36,0.007842078189300411,0.08855550908498246,0.007842078189300411,69.18649192756766,55.93412493887796,0.9999421762174873,0.0005272633744866084,6233,6233,1.0,0.10497689247131348
33,0.008168724279835391,0.09038099512527725,0.008168724279835391,69.00926123367088,55.73667220900525,0.9999415464467684,0.00023148148147811298,6312,6312,1.0,0.12774300575256348
11,0.008029835390946502,0.08960934879211266,0.008029835390946502,69.08373718395748,55.812391838583665,0.9999312488050585,0.0004938271604899569,6245,6245,1.0,0.10444211959838867
89,0.007880658436213992,0.08877307269782878,0.007880658436213992,69.1651785616158,55.818066311633515,0.9999357841264905,0.0001543209876544438,6293,6293,1.0,0.10797357559204102
103,0.00841820987654321,0.09175080313840969,0.00841820987654321,68.87860611814143,54.96545472398844,0.9999194837849329,0.0006867283950668934,6435,6435,1.0,0.1253206729888916
98,0.008135288065843621,0.09019583175426468,0.008135288065843621,69.02707425206424,55.18366193295872,0.9999316865707443,4.886831275996428e-05,6267,6267,1.0,0.10549545288085938
65,0.008050411522633746,0.08972408552130105,0.008050411522633746,69.07262279575698,56.00391136104744,0.9999372244485017,0.000540123456794106,6334,6334,1.0,0.11269426345825195
137,0.00808641975308642,0.08992452253465914,0.00808641975308642,69.05324079754777,56.148249335523204,0.9999395194686823,0.00025205761317437236,6394,6394,1.0,0.11777997016906738
110,0.008109567901234568,0.09005313931915182,0.008109567901234568,69.04082646374243,55.24938070026977,0.9999416946109294,3.858024690828188e-05,6338,6338,1.0,0.11527156829833984
34,0.008125,0.09013878188659974,0.008125,69.03256991216998,55.76395018921241,0.9999423096001161,0.00047067901234498777,6308,6308,1.0,0.13193249702453613
148,0.008173868312757201,0.09040944813877143,0.008173868312757201,69.00652724250787,56.43734610197599,0.9999321151661119,0.000380658436213821,6332,6332,1.0,0.11349606513977051
54,0.007991255144032922,0.0893938205024985,0.007991255144032922,69.10465363867173,55.887230591236005,0.9999429482194241,0.00016718106996194138,6106,6106,1.0,0.10962891578674316
139,0.008065843621399177,0.08981004187394179,0.008065843621399177,69.06430563109747,56.204451453771455,0.9999316370414846,0.00047325102880080294,6234,6234,1.0,0.12436652183532715
85,0.008135288065843621,0.09019583175426468,0.008135288065843621,69.02707425206424,55.750087810648,0.9999339745386638,0.00016718106996194138,6311,6311,1.0,0.10637640953063965
51,0.008032407407407408,0.08962369891612045,0.008032407407407408,69.08234632891948,55.842190912460836,0.9999412510457611,0.0003420781893055391,6336,6336,1.0,0.11505818367004395
62,0.008050411522633746,0.08972408552130105,0.008050411522633746,69.07262279575698,55.95194640940382,0.9999371136613672,5.658436214162066e-05,6280,6280,1.0,0.1083984375
106,0.008070987654320988,0.08983867571553461,0.008070987654320988,69.0615367787123,55.16823444648491,0.9999273052858536,0.0006841563786039728,6322,6322,1.0,0.1076664924621582
10,0.0075488683127572015,0.08688422361255926,0.0075488683127572015,69.35198511538515,56.08255581105614,0.9999476288127124,5.401234567870006e-05,6030,6030,1.0,0.133103609085083
121,0.008045267489711934,0.08969541509860988,0.008045267489711934,69.07539872734337,55.85799333683767,0.9999304694226167,0.0003086419753088876,6326,6326,1.0,0.1287236213684082
87,0.00805812757201646,0.08976707398604714,0.00805812757201646,69.06846222240442,55.787288969477295,0.9999383957421418,5.915637859743583e-05,6433,6433,1.0,0.11402177810668945
120,0.00800925925925926,0.08949446496437229,0.00800925925925926,69.09488008890045,55.85066395575243,0.9999371294748866,0.00045267489712585984,6296,6296,1.0,0.10622072219848633
147,0.008166152263374485,0.09036676525899599,0.008166152263374485,69.01062887494152,56.44216256173583,0.9999345680048194,0.00037294238683216463,6310,6310,1.0,0.1300215721130371
42,0.007677469135802469,0.08762116830881947,0.007677469135802469,69.27862281656759,56.005535971519926,0.9999448409543922,0.0002649176954747645,5924,5924,1.0,0.12063956260681152
63,0.008127572016460905,0.09015304773805989,0.008127572016460905,69.03119534503743,55.92957311783743,0.9999443507282826,0.00019547325102564628,6363,6363,1.0,0.11940670013427734
9,0.00797067901234568,0.08927865933326777,0.00797067901234568,69.11585040882863,55.863658503012836,0.9999353312957614,0.0006404320987627443,6115,6115,1.0,0.11592984199523926
25,0.008073559670781893,0.08985298921450467,0.008073559670781893,69.06015301422104,55.8296567275155,0.9999412643299422,0.0002597736625489233,6226,6226,1.0,0.11403560638427734
7,0.007988683127572017,0.08937943347086072,0.007988683127572017,69.10605165729608,55.87037384799228,0.9999439114646588,0.00040123456789586953,6161,6161,1.0,0.12623357772827148
144,0.008148148148148147,0.090267093384844,0.008148148148148147,69.0202144420469,56.265361599494376,0.9999323655283159,0.0005401234567870006,6351,6351,1.0,0.11620950698852539
